,Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
129,129,22,2,Sophomore,Computer Science,7984.0,7480.0,43360.0,4128.0,2376.0,768.0,824.0,1032.0,624.0,2008.0,872.0,504.0,Credit/Debit Card
130,130,22,2,Senior,Biology,7080.0,2600.0,35112.0,7256.0,2536.0,1152.0,1008.0,1192.0,712.0,1944.0,1248.0,648.0,Credit/Debit Card
131,131,25,0,Senior,Engineering,5808.0,2664.0,30832.0,5904.0,1416.0,1560.0,880.0,736.0,616.0,936.0,240.0,400.0,Credit/Debit Card
132,132,25,1,Junior,Psychology,8296.0,7920.0,39080.0,3848.0,2936.0,1040.0,2176.0,448.0,456.0,1200.0,736.0,176.0,Mobile Payment App
133,133,22,1,Freshman,Engineering,11648.0,7944.0,27016.0,5864.0,1608.0,752.0,2272.0,984.0,272.0,472.0,616.0,776.0,Mobile Payment App
134,134,24,0,Junior,Economics,5408.0,1464.0,33032.0,4800.0,1080.0,600.0,1816.0,200.0,176.0,1600.0,1312.0,1064.0,Mobile Payment App
135,135,24,1,Senior,Psychology,4568.0,1720.0,44632.0,3392.0,1064.0,1192.0,1112.0,232.0,464.0,2200.0,1384.0,872.0,Mobile Payment App
136,136,23,0,Junior,Computer Science,9704.0,6088.0,47552.0,6144.0,1968.0,1568.0,1320.0,416.0,544.0,1584.0,1440.0,320.0,Mobile Payment App
137,137,24,1,Sophomore,Psychology,8896.0,4376.0,42440.0,3984.0,2856.0,1360.0,1464.0,736.0,672.0,1104.0,736.0,1576.0,Cash
138,138,18,1,Sophomore,Economics,8800.0,4280.0,38672.0,4744.0,1608.0,1576.0,624.0,736.0,352.0,1424.0,1584.0,360.0,Credit/Debit Card
139,139,21,0,Sophomore,Psychology,4208.0,3000.0,34232.0,5976.0,1272.0,1464.0,1576.0,536.0,168.0,704.0,464.0,864.0,Cash
140,140,22,0,Junior,Computer Science,7608.0,1616.0,25376.0,6544.0,1264.0,544.0,760.0,608.0,504.0,976.0,376.0,768.0,Mobile Payment App
141,141,23,0,Sophomore,Computer Science,10408.0,1304.0,45568.0,7192.0,936.0,408.0,2224.0,176.0,176.0,1224.0,560.0,1200.0,Cash
142,142,25,0,Junior,Psychology,8824.0,40.0,47680.0,5408.0,3000.0,1192.0,1064.0,608.0,264.0,1696.0,1320.0,1352.0,Mobile Payment App
143,143,24,0,Senior,Computer Science,8664.0,3728.0,45536.0,5152.0,888.0,640.0,1880.0,608.0,336.0,864.0,520.0,584.0,Cash
144,144,23,1,Senior,Engineering,6880.0,376.0,24456.0,4912.0,1880.0,920.0,936.0,568.0,576.0,1808.0,752.0,1008.0,Cash
145,145,18,0,Senior,Biology,10832.0,7056.0,26728.0,7752.0,2784.0,600.0,1008.0,392.0,744.0,1608.0,928.0,1424.0,Cash
146,146,23,0,Senior,Biology,7016.0,6776.0,38144.0,3720.0,1768.0,768.0,416.0,312.0,584.0,752.0,1128.0,512.0,Credit/Debit Card
147,147,21,0,Freshman,Engineering,5192.0,4616.0,24368.0,7448.0,1792.0,1288.0,1600.0,192.0,640.0,1704.0,1080.0,1440.0,Credit/Debit Card
148,148,24,0,Sophomore,Computer Science,7176.0,1760.0,37240.0,6392.0,2864.0,1000.0,2320.0,640.0,184.0,1248.0,1416.0,368.0,Credit/Debit Card
149,149,21,2,Freshman,Psychology,9176.0,6976.0,29672.0,4648.0,816.0,1504.0,1800.0,784.0,576.0,2184.0,1008.0,1328.0,Mobile Payment App
150,150,23,2,Senior,Biology,10936.0,4848.0,44616.0,7328.0,2080.0,624.0,1704.0,1160.0,568.0,1784.0,984.0,1592.0,Credit/Debit Card
151,151,21,0,Freshman,Computer Science,5176.0,3056.0,39544.0,6456.0,1192.0,488.0,1712.0,1088.0,208.0,1528.0,816.0,856.0,Cash
152,152,21,1,Senior,Engineering,5248.0,5800.0,26880.0,7448.0,2632.0,1504.0,760.0,960.0,736.0,816.0,472.0,1584.0,Credit/Debit Card
153,153,19,2,Junior,Economics,9048.0,2520.0,25552.0,3744.0,2624.0,1416.0,944.0,208.0,552.0,528.0,1288.0,960.0,Mobile Payment App
154,154,19,1,Freshman,Psychology,10552.0,6424.0,33280.0,5416.0,1272.0,584.0,1832.0,1120.0,304.0,864.0,1400.0,248.0,Cash
155,155,22,1,Freshman,Economics,7336.0,6848.0,40080.0,3472.0,1024.0,1472.0,2216.0,784.0,232.0,920.0,488.0,528.0,Credit/Debit Card
156,156,19,1,Sophomore,Biology,6976.0,1648.0,42472.0,7552.0,1856.0,1328.0,1224.0,464.0,512.0,536.0,1336.0,688.0,Credit/Debit Card
157,157,20,0,Sophomore,Economics,7208.0,920.0,27104.0,5896.0,2360.0,672.0,2376.0,528.0,640.0,1168.0,800.0,744.0,Mobile Payment App
158,158,18,0,Junior,Engineering,4288.0,4280.0,44376.0,5408.0,2040.0,656.0,888.0,1024.0,280.0,2016.0,1280.0,632.0,Credit/Debit Card
159,159,25,1,Senior,Psychology,4048.0,7448.0,32696.0,7984.0,2008.0,1400.0,640.0,656.0,656.0,608.0,1216.0,448.0,Mobile Payment App
160,160,23,1,Junior,Economics,9608.0,5080.0,29984.0,3672.0,2328.0,448.0,1592.0,800.0,648.0,2320.0,1080.0,1048.0,Credit/Debit Card
161,161,25,2,Senior,Computer Science,9512.0,384.0,44544.0,6520.0,1272.0,632.0,528.0,904.0,544.0,728.0,752.0,296.0,Cash
162,162,23,1,Junior,Economics,4368.0,3096.0,31120.0,5976.0,2256.0,1120.0,424.0,280.0,304.0,536.0,600.0,1448.0,Credit/Debit Card
163,163,19,2,Senior,Biology,9448.0,7912.0,25296.0,4472.0,1568.0,1096.0,712.0,368.0,480.0,1992.0,1072.0,1600.0,Cash
164,164,18,1,Sophomore,Economics,6480.0,2336.0,31624.0,6168.0,2720.0,408.0,784.0,960.0,704.0,1064.0,464.0,904.0,Cash
165,165,19,2,Freshman,Engineering,6840.0,3176.0,32224.0,5064.0,3200.0,1168.0,1392.0,1184.0,336.0,616.0,1224.0,976.0,Cash
166,166,23,0,Sophomore,Biology,10832.0,136.0,47288.0,5048.0,3080.0,1280.0,896.0,272.0,256.0,1800.0,1384.0,480.0,Cash
167,167,20,0,Freshman,Psychology,8448.0,6888.0,43464.0,3240.0,1464.0,1552.0,1496.0,488.0,528.0,1152.0,856.0,176.0,Cash
168,168,19,0,Freshman,Economics,4960.0,1720.0,39848.0,5632.0,1944.0,1576.0,2280.0,1080.0,664.0,1536.0,288.0,1576.0,Credit/Debit Card
169,169,24,1,Freshman,Economics,9656.0,2712.0,34888.0,5104.0,1608.0,1144.0,1928.0,896.0,232.0,688.0,1112.0,880.0,Cash
