Unnamed: 0,age,gender,year_in_school,major,monthly_income,financial_aid,tuition,housing,food,transportation,books_supplies,entertainment,personal_care,technology,health_wellness,miscellaneous,preferred_payment_method
37,23,Non-binary,Senior,Computer Science,10472,2120,41280,4800,1424,1184,1488,704,624,1936,432,1376,Cash
38,21,Female,Senior,Biology,7720,2008,42752,5560,1992,704,1992,392,232,2384,768,248,Cash
39,20,Female,Senior,Engineering,4800,3136,45864,6328,2472,1424,536,176,232,1136,592,840,Mobile Payment App
40,24,Female,Freshman,Engineering,4840,944,45568,5224,1320,1512,1208,688,656,936,664,1248,Mobile Payment App
41,25,Male,Sophomore,Economics,6432,1120,42656,4136,2312,1176,1224,1000,344,1272,352,1016,Cash
42,23,Female,Sophomore,Economics,10192,3592,37112,6040,1096,440,1992,824,400,1408,536,1400,Cash
43,23,Male,Junior,Psychology,4072,7536,31664,4088,3128,1536,2112,456,680,864,920,1128,Credit/Debit Card
44,23,Female,Senior,Economics,10280,7048,30584,5920,2024,1456,1840,256,736,944,272,312,Credit/Debit Card
45,18,Male,Freshman,Computer Science,7432,2784,30832,4720,1632,1568,1464,1032,640,1304,928,440,Credit/Debit Card
46,25,Non-binary,Freshman,Psychology,9304,1880,39608,4392,2088,688,1480,816,168,2016,248,704,Cash
47,19,Male,Senior,Psychology,9560,5960,42152,7360,1336,456,704,904,480,1936,280,848,Mobile Payment App
48,25,Male,Junior,Psychology,8288,2080,33128,7344,976,688,840,496,704,720,1352,1096,Cash
49,24,Female,Junior,Economics,4704,1688,39000,4832,1304,808,1584,712,184,1024,496,336,Mobile Payment App
50,20,Female,Junior,Engineering,11016,5784,43312,6288,2840,1096,1496,360,720,1160,1600,216,Cash
51,21,Non-binary,Freshman,Economics,11608,3832,43848,5288,1120,536,1024,248,384,2344,296,1024,Credit/Debit Card
52,19,Male,Senior,Computer Science,5352,5280,30584,6696,1544,920,600,968,520,1200,768,464,Cash
53,18,Male,Freshman,Psychology,10352,6544,32632,6448,920,776,568,192,248,632,856,504,Mobile Payment App
54,24,Non-binary,Senior,Engineering,7528,720,29504,7704,2976,1576,1168,256,688,872,360,1584,Mobile Payment App
55,22,Female,Sophomore,Engineering,9048,2496,33952,7408,2712,1136,1896,1160,744,968,728,1264,Cash
56,24,Non-binary,Freshman,Computer Science,6832,5600,38592,4200,1784,1160,1064,376,728,2352,1528,1360,Cash
57,20,Male,Sophomore,Economics,9264,5224,24136,7680,1728,1544,2392,320,488,2104,440,1128,Mobile Payment App
58,25,Non-binary,Sophomore,Biology,5344,400,29200,3728,3016,1288,1768,480,640,1440,1136,688,Mobile Payment App
59,20,Female,Junior,Biology,5560,7760,37552,5008,2432,832,1600,376,568,1784,744,1528,Mobile Payment App
60,20,Male,Junior,Engineering,11000,5776,43112,3328,1056,1544,1192,536,216,2088,368,344,Mobile Payment App
61,23,Female,Junior,Engineering,8672,2520,41640,5768,1840,608,1128,688,272,1496,1272,1152,Mobile Payment App
62,18,Female,Senior,Biology,5864,6704,41984,7816,2384,1312,1928,680,624,2248,968,1344,Cash
63,20,Non-binary,Freshman,Economics,8488,7912,41552,3712,2960,464,616,1080,272,992,320,1368,Mobile Payment App
64,19,Female,Junior,Computer Science,10816,104,27224,3816,1152,656,1520,872,672,648,448,640,Mobile Payment App
65,19,Male,Freshman,Biology,8736,4400,46728,7328,1200,1144,2056,720,232,2096,1536,1416,Mobile Payment App
66,24,Male,Freshman,Economics,7704,2936,30640,7064,2080,632,1112,1080,512,432,648,592,Mobile Payment App
67,21,Female,Junior,Engineering,9632,968,34088,3904,2264,888,2296,920,448,1840,680,192,Credit/Debit Card
68,23,Male,Senior,Engineering,9472,832,43040,7520,920,1480,1368,464,360,888,240,1352,Mobile Payment App
69,22,Male,Junior,Economics,4496,5824,36480,7888,2448,840,872,720,792,1496,1560,272,Mobile Payment App
70,19,Male,Freshman,Economics,9744,7024,37144,3608,1872,1352,1920,840,168,1904,808,304,Mobile Payment App
71,21,Non-binary,Sophomore,Computer Science,9880,6440,43536,5960,3120,1200,1824,768,640,832,280,1048,Cash
72,23,Non-binary,Sophomore,Economics,11392,2936,25760,5472,2624,944,728,1144,704,784,1272,432,Cash
73,22,Female,Freshman,Biology,9408,6432,34176,6888,2440,776,848,824,344,1480,832,536,Mobile Payment App
74,25,Female,Sophomore,Engineering,10672,648,31888,6984,1440,1488,1888,184,488,704,696,264,Credit/Debit Card
75,19,Female,Senior,Computer Science,11536,2832,42968,5864,1224,1328,840,232,640,688,1096,872,Cash
76,22,Male,Sophomore,Computer Science,7864,6896,45200,5184,1272,1024,2072,992,776,768,1200,1072,Cash
77,24,Female,Sophomore,Computer Science,7312,192,39048,4512,1192,440,488,1032,632,1440,752,264,Credit/Debit Card
78,22,Non-binary,Senior,Economics,7184,1240,43424,6944,1400,1032,1184,912,592,1568,832,616,Cash
79,23,Non-binary,Junior,Economics,9312,2856,41696,5048,2648,1000,1592,920,384,1040,856,1568,Cash
80,18,Female,Freshman,Biology,11872,4752,37088,4144,2392,592,440,832,696,976,1368,1544,Mobile Payment App
81,19,Female,Junior,Biology,9016,6800,40832,4984,3080,752,1544,232,456,2072,904,248,Mobile Payment App
82,24,Non-binary,Senior,Biology,8840,5368,44008,6728,1880,1312,872,1152,800,2016,1584,288,Cash
83,19,Male,Freshman,Computer Science,10808,1248,36232,5424,1488,1424,600,272,760,776,1120,600,Mobile Payment App
84,22,Female,Freshman,Biology,7440,6144,24400,3920,2792,432,1392,640,408,2224,1144,328,Mobile Payment App
85,25,Non-binary,Senior,Computer Science,10768,7456,45464,5744,3008,1216,1248,752,648,1760,1160,664,Credit/Debit Card
86,25,Non-binary,Sophomore,Computer Science,9920,352,31208,4944,2520,1416,1440,328,504,1976,896,1104,Credit/Debit Card
87,25,Female,Junior,Computer Science,5816,1144,32408,6720,2152,952,968,1056,320,1384,1584,1000,Credit/Debit Card
88,20,Female,Junior,Economics,4976,7672,37656,3448,1872,1472,2112,432,672,2360,1296,1416,Mobile Payment App
89,23,Male,Sophomore,Economics,6400,7464,42432,3368,1152,776,408,824,528,1976,1464,736,Credit/Debit Card
90,18,Non-binary,Junior,Psychology,9592,4128,47672,6224,2080,656,1904,592,656,1192,1008,496,Credit/Debit Card
91,19,Male,Senior,Economics,8048,3136,28208,3288,2856,872,2144,856,752,520,1104,1160,Cash
92,23,Non-binary,Sophomore,Economics,10360,7224,35384,6328,3176,1152,512,472,632,1496,1512,904,Mobile Payment App
93,18,Male,Sophomore,Economics,9776,5000,33888,6896,1016,1440,504,728,720,1528,696,976,Mobile Payment App
94,18,Female,Senior,Computer Science,11072,6400,38576,6472,1896,1392,680,168,576,1040,1480,832,Credit/Debit Card
95,18,Female,Junior,Engineering,8280,4104,26936,6080,1456,456,760,952,168,1328,1192,952,Credit/Debit Card
96,20,Male,Freshman,Economics,11160,5784,41008,4408,2064,1040,648,816,672,1872,1376,624,Credit/Debit Card
97,18,Non-binary,Sophomore,Biology,6136,3656,40768,6240,2648,1600,920,712,216,2120,1400,1264,Credit/Debit Card
98,24,Female,Senior,Biology,7464,3616,37648,6296,1328,1088,848,896,504,2160,688,232,Cash
99,23,Male,Junior,Psychology,6424,6368,27768,7448,2344,432,1168,1136,464,672,832,328,Mobile Payment App
100,22,Male,Sophomore,Psychology,10664,1848,26400,7768,2360,408,1752,728,752,2072,1288,400,Cash
101,23,Female,Senior,Psychology,8920,3496,42536,6544,2728,1088,928,920,176,448,304,848,Mobile Payment App
102,20,Female,Sophomore,Psychology,7360,1192,26928,5088,2360,1144,616,960,768,1096,1296,1424,Cash
103,25,Male,Junior,Psychology,6240,760,47448,6072,1728,792,2008,160,304,1536,840,776,Cash
104,21,Female,Junior,Psychology,7056,7296,44560,4440,2440,824,648,896,224,896,1296,1576,Mobile Payment App
105,21,Female,Senior,Computer Science,7672,2064,25600,3712,2880,1224,1760,208,704,1152,1288,1072,Cash
106,25,Female,Senior,Psychology,5984,3952,38312,3576,2824,1312,1608,480,344,792,744,1376,Mobile Payment App
107,21,Male,Junior,Biology,6480,584,39072,5936,896,1384,2208,1088,504,2352,1288,1088,Mobile Payment App
108,20,Male,Sophomore,Computer Science,7720,2576,39936,3464,1400,448,568,712,592,528,472,1040,Mobile Payment App
109,24,Male,Senior,Psychology,6272,4104,39248,6904,928,880,1120,928,448,2112,1432,1280,Credit/Debit Card
110,22,Male,Sophomore,Economics,7760,4424,47152,5440,2752,1248,912,960,632,424,320,1248,Mobile Payment App
111,23,Non-binary,Senior,Economics,10792,6984,46928,5288,1640,1032,704,576,224,1536,576,808,Credit/Debit Card
112,19,Female,Senior,Psychology,6080,488,43432,6648,2144,672,504,208,736,2224,1480,480,Credit/Debit Card
113,21,Female,Freshman,Computer Science,5616,2184,39816,7248,3080,848,2216,1184,328,1640,1192,928,Cash
114,21,Male,Junior,Engineering,5760,5400,42472,5288,2272,760,1224,744,168,864,648,512,Mobile Payment App
115,22,Male,Freshman,Biology,10288,6312,28944,7216,2744,1552,1456,592,496,1368,1008,896,Mobile Payment App
116,22,Female,Sophomore,Engineering,9080,2088,38024,5032,2680,1344,776,904,480,1784,352,496,Cash
117,18,Non-binary,Senior,Engineering,8240,1920,24864,6872,3088,1176,1664,216,480,2120,288,184,Credit/Debit Card
118,21,Female,Senior,Engineering,10120,5776,36632,6080,976,976,504,272,384,2000,1224,1472,Credit/Debit Card
119,24,Female,Freshman,Psychology,9400,6424,45072,3552,2320,1360,504,200,296,2200,888,808,Mobile Payment App
120,23,Female,Freshman,Psychology,8664,80,42200,5120,1888,1224,2056,496,696,1504,440,472,Mobile Payment App
121,24,Non-binary,Freshman,Biology,11896,7520,25336,6120,1616,1168,1464,1160,184,1864,960,352,Mobile Payment App
122,25,Non-binary,Junior,Computer Science,10616,1568,40536,4904,2224,1432,1496,1192,304,1816,1296,832,Cash
123,22,Non-binary,Senior,Economics,8760,1320,36256,6408,2024,1336,1944,584,264,880,528,784,Credit/Debit Card
124,23,Male,Senior,Biology,11680,3488,25840,6296,3016,1408,1264,936,624,2392,672,344,Mobile Payment App
125,20,Female,Freshman,Engineering,10832,3416,29528,4120,1792,960,1000,568,368,1120,1472,1416,Credit/Debit Card
126,20,Male,Sophomore,Biology,6688,4960,34488,4672,2408,1280,1544,728,368,1144,960,424,Cash
127,22,Male,Junior,Engineering,9696,4232,32096,7176,3200,424,960,936,704,2272,952,840,Credit/Debit Card
128,20,Non-binary,Senior,Engineering,11864,2216,27304,4432,1456,1104,2200,576,280,1280,592,1520,Credit/Debit Card
129,22,Non-binary,Sophomore,Computer Science,7984,7480,43360,4128,2376,768,824,1032,624,2008,872,504,Credit/Debit Card
130,22,Non-binary,Senior,Biology,7080,2600,35112,7256,2536,1152,1008,1192,712,1944,1248,648,Credit/Debit Card
131,25,Male,Senior,Engineering,5808,2664,30832,5904,1416,1560,880,736,616,936,240,400,Credit/Debit Card
132,25,Female,Junior,Psychology,8296,7920,39080,3848,2936,1040,2176,448,456,1200,736,176,Mobile Payment App
133,22,Female,Freshman,Engineering,11648,7944,27016,5864,1608,752,2272,984,272,472,616,776,Mobile Payment App
134,24,Male,Junior,Economics,5408,1464,33032,4800,1080,600,1816,200,176,1600,1312,1064,Mobile Payment App
135,24,Female,Senior,Psychology,4568,1720,44632,3392,1064,1192,1112,232,464,2200,1384,872,Mobile Payment App
136,23,Male,Junior,Computer Science,9704,6088,47552,6144,1968,1568,1320,416,544,1584,1440,320,Mobile Payment App
137,24,Female,Sophomore,Psychology,8896,4376,42440,3984,2856,1360,1464,736,672,1104,736,1576,Cash
138,18,Female,Sophomore,Economics,8800,4280,38672,4744,1608,1576,624,736,352,1424,1584,360,Credit/Debit Card
139,21,Male,Sophomore,Psychology,4208,3000,34232,5976,1272,1464,1576,536,168,704,464,864,Cash
140,22,Male,Junior,Computer Science,7608,1616,25376,6544,1264,544,760,608,504,976,376,768,Mobile Payment App
141,23,Male,Sophomore,Computer Science,10408,1304,45568,7192,936,408,2224,176,176,1224,560,1200,Cash
142,25,Male,Junior,Psychology,8824,40,47680,5408,3000,1192,1064,608,264,1696,1320,1352,Mobile Payment App
143,24,Male,Senior,Computer Science,8664,3728,45536,5152,888,640,1880,608,336,864,520,584,Cash
144,23,Female,Senior,Engineering,6880,376,24456,4912,1880,920,936,568,576,1808,752,1008,Cash
145,18,Male,Senior,Biology,10832,7056,26728,7752,2784,600,1008,392,744,1608,928,1424,Cash
146,23,Male,Senior,Biology,7016,6776,38144,3720,1768,768,416,312,584,752,1128,512,Credit/Debit Card
147,21,Male,Freshman,Engineering,5192,4616,24368,7448,1792,1288,1600,192,640,1704,1080,1440,Credit/Debit Card
148,24,Male,Sophomore,Computer Science,7176,1760,37240,6392,2864,1000,2320,640,184,1248,1416,368,Credit/Debit Card
149,21,Non-binary,Freshman,Psychology,9176,6976,29672,4648,816,1504,1800,784,576,2184,1008,1328,Mobile Payment App
150,23,Non-binary,Senior,Biology,10936,4848,44616,7328,2080,624,1704,1160,568,1784,984,1592,Credit/Debit Card
151,21,Male,Freshman,Computer Science,5176,3056,39544,6456,1192,488,1712,1088,208,1528,816,856,Cash
152,21,Female,Senior,Engineering,5248,5800,26880,7448,2632,1504,760,960,736,816,472,1584,Credit/Debit Card
153,19,Non-binary,Junior,Economics,9048,2520,25552,3744,2624,1416,944,208,552,528,1288,960,Mobile Payment App
154,19,Female,Freshman,Psychology,10552,6424,33280,5416,1272,584,1832,1120,304,864,1400,248,Cash
155,22,Female,Freshman,Economics,7336,6848,40080,3472,1024,1472,2216,784,232,920,488,528,Credit/Debit Card
156,19,Female,Sophomore,Biology,6976,1648,42472,7552,1856,1328,1224,464,512,536,1336,688,Credit/Debit Card
157,20,Male,Sophomore,Economics,7208,920,27104,5896,2360,672,2376,528,640,1168,800,744,Mobile Payment App
158,18,Male,Junior,Engineering,4288,4280,44376,5408,2040,656,888,1024,280,2016,1280,632,Credit/Debit Card
159,25,Female,Senior,Psychology,4048,7448,32696,7984,2008,1400,640,656,656,608,1216,448,Mobile Payment App
160,23,Female,Junior,Economics,9608,5080,29984,3672,2328,448,1592,800,648,2320,1080,1048,Credit/Debit Card
161,25,Non-binary,Senior,Computer Science,9512,384,44544,6520,1272,632,528,904,544,728,752,296,Cash
162,23,Female,Junior,Economics,4368,3096,31120,5976,2256,1120,424,280,304,536,600,1448,Credit/Debit Card
163,19,Non-binary,Senior,Biology,9448,7912,25296,4472,1568,1096,712,368,480,1992,1072,1600,Cash
164,18,Female,Sophomore,Economics,6480,2336,31624,6168,2720,408,784,960,704,1064,464,904,Cash
165,19,Non-binary,Freshman,Engineering,6840,3176,32224,5064,3200,1168,1392,1184,336,616,1224,976,Cash
166,23,Male,Sophomore,Biology,10832,136,47288,5048,3080,1280,896,272,256,1800,1384,480,Cash
167,20,Male,Freshman,Psychology,8448,6888,43464,3240,1464,1552,1496,488,528,1152,856,176,Cash
168,19,Male,Freshman,Economics,4960,1720,39848,5632,1944,1576,2280,1080,664,1536,288,1576,Credit/Debit Card
169,24,Female,Freshman,Economics,9656,2712,34888,5104,1608,1144,1928,896,232,688,1112,880,Cash
170,21,Non-binary,Sophomore,Psychology,4968,3648,47144,7680,1592,992,2224,920,384,1544,1424,544,Cash
171,25,Female,Senior,Engineering,8264,512,33992,4136,832,512,2072,1048,528,1872,504,832,Mobile Payment App
172,19,Non-binary,Freshman,Psychology,5776,16,29608,3600,816,656,2136,304,520,1032,1488,1000,Mobile Payment App
173,20,Male,Freshman,Psychology,10432,608,28512,6776,1440,736,2400,720,512,904,272,904,Mobile Payment App
174,21,Non-binary,Junior,Biology,7296,7760,27392,7928,2784,1448,688,1072,560,1400,320,1472,Credit/Debit Card
175,23,Male,Sophomore,Biology,7704,6968,39608,6224,2024,840,1080,992,368,1480,1312,1280,Cash
176,18,Female,Junior,Engineering,10288,4944,24120,7400,824,1032,448,400,744,1720,344,840,Mobile Payment App
177,18,Male,Freshman,Economics,8832,1440,37224,5464,2896,1480,720,632,728,728,792,512,Credit/Debit Card
178,23,Non-binary,Senior,Economics,5576,7416,30048,5872,3152,1536,872,640,584,1976,552,1560,Cash
179,21,Male,Freshman,Engineering,9840,7744,34032,4320,2280,792,1352,808,456,616,696,344,Cash
180,25,Female,Junior,Engineering,10760,5192,31112,7352,2488,1064,544,1192,528,552,1272,1296,Mobile Payment App
181,20,Female,Junior,Biology,11288,4136,24592,6992,1208,616,1752,168,352,2240,456,1408,Mobile Payment App
182,24,Female,Freshman,Economics,10840,2256,47984,4936,2488,632,2112,280,584,2032,1048,1312,Credit/Debit Card
183,24,Non-binary,Junior,Economics,4864,7344,32448,4544,2688,1488,1272,656,712,2008,1328,1136,Mobile Payment App
184,22,Female,Senior,Biology,4528,3840,28336,6672,2880,512,2312,384,688,1808,1056,960,Credit/Debit Card
185,25,Female,Junior,Economics,10480,7856,36384,6696,1752,480,576,656,408,2080,240,1368,Mobile Payment App
186,24,Female,Sophomore,Biology,10832,416,25352,6792,2680,480,1592,616,360,808,1560,1000,Credit/Debit Card
187,23,Male,Sophomore,Economics,8160,136,37160,7544,2440,1248,1920,984,424,2320,616,504,Cash
188,24,Non-binary,Senior,Engineering,11152,6968,35600,3328,2144,1064,1168,176,544,1376,1008,1480,Cash
189,22,Non-binary,Sophomore,Psychology,7632,2696,46048,5736,1272,1560,1568,1104,208,1232,1280,680,Credit/Debit Card
190,21,Male,Senior,Biology,11584,6352,31672,4992,1368,1376,824,472,712,1648,1456,1264,Mobile Payment App
191,21,Non-binary,Sophomore,Biology,7744,64,32624,5360,864,448,1032,208,528,2176,512,1208,Credit/Debit Card
192,19,Male,Freshman,Economics,11600,6472,32824,6760,2040,712,1088,880,680,1464,680,880,Credit/Debit Card
193,22,Female,Freshman,Computer Science,10528,7504,34528,7624,1224,1432,1832,840,528,1472,1208,1096,Credit/Debit Card
194,24,Male,Freshman,Computer Science,7232,7640,32600,7000,2480,1576,1608,728,664,1792,1488,808,Cash
195,23,Female,Junior,Computer Science,11904,616,43344,4360,896,1544,1264,168,512,2056,1344,688,Cash
196,20,Female,Junior,Psychology,7144,2064,47016,3752,1048,1536,1776,584,672,1000,1408,592,Cash
197,21,Male,Freshman,Biology,4216,6808,35712,5464,3120,1552,1480,1016,520,1504,1344,1544,Credit/Debit Card
198,24,Male,Senior,Biology,6432,5120,24344,7416,2776,1336,1208,912,280,1648,752,1352,Credit/Debit Card
199,25,Female,Junior,Engineering,4376,1864,40560,5064,1312,752,1176,984,200,1888,928,296,Credit/Debit Card
200,19,Non-binary,Freshman,Computer Science,4184,7136,37464,3504,1440,520,1664,864,472,1536,736,1056,Cash
201,24,Female,Senior,Economics,8320,7760,42344,5608,2584,776,1568,744,496,1360,720,512,Credit/Debit Card
202,24,Male,Freshman,Computer Science,7344,2184,24096,6072,904,1448,496,792,648,1808,1240,1592,Credit/Debit Card
203,23,Female,Junior,Biology,4032,6200,33056,7976,1896,552,1592,888,464,496,1560,1560,Credit/Debit Card
204,24,Female,Senior,Economics,9624,920,25872,6864,1992,1256,2336,1056,752,2224,528,392,Cash
205,20,Female,Senior,Psychology,7608,2232,32032,3624,2928,968,2296,568,520,1656,1032,976,Mobile Payment App
206,24,Non-binary,Sophomore,Psychology,6856,4664,31512,4696,1176,1008,1280,936,680,784,552,1144,Mobile Payment App
207,19,Male,Senior,Psychology,6496,4312,25528,5952,864,1512,2368,248,648,1632,696,272,Cash
208,18,Male,Sophomore,Computer Science,4320,5192,41504,5968,1384,1176,904,1112,232,824,584,944,Credit/Debit Card
209,19,Non-binary,Junior,Psychology,7112,3864,24056,5384,1800,904,904,1184,320,2048,1368,1400,Cash
210,18,Non-binary,Freshman,Psychology,7936,5440,45744,4264,1928,672,2208,520,648,1128,1368,408,Credit/Debit Card
211,21,Male,Junior,Biology,6080,6952,29696,4536,2328,752,688,1128,776,440,1320,352,Mobile Payment App
212,25,Male,Sophomore,Biology,9592,7968,38920,4264,1656,984,560,832,608,2048,1512,1536,Credit/Debit Card
213,20,Female,Junior,Biology,4624,3680,39144,3904,1112,1344,464,840,736,1416,1464,736,Credit/Debit Card
214,24,Female,Senior,Economics,7952,7520,39080,3896,1144,432,632,592,424,616,528,176,Cash
215,18,Non-binary,Junior,Economics,4416,3848,42496,7496,2456,616,568,168,416,1016,368,616,Mobile Payment App
216,21,Male,Junior,Computer Science,11552,6336,46928,4856,3168,1512,1000,608,640,472,632,624,Credit/Debit Card
217,19,Female,Junior,Psychology,9624,4400,26256,5232,1456,864,2304,1176,304,736,1456,1024,Mobile Payment App
218,25,Female,Sophomore,Computer Science,11848,400,39184,7856,1256,1296,1272,240,608,1800,792,1328,Credit/Debit Card
219,25,Non-binary,Sophomore,Economics,5600,1392,42544,6768,1648,864,2272,560,184,1760,1352,1136,Credit/Debit Card
220,25,Female,Junior,Economics,8696,3320,42256,4024,1240,1488,928,248,248,864,1128,1600,Mobile Payment App
221,23,Male,Senior,Economics,5376,5592,36160,3480,1224,1440,488,600,448,1984,1560,656,Mobile Payment App
222,21,Male,Sophomore,Computer Science,6600,7056,34456,4712,1448,432,712,904,440,2128,272,1408,Credit/Debit Card
223,24,Male,Sophomore,Computer Science,8264,2136,47976,6448,2992,688,1832,624,248,1112,1224,616,Cash
224,25,Non-binary,Freshman,Engineering,6192,2000,42448,7536,2592,584,2168,856,616,736,640,528,Credit/Debit Card
225,23,Male,Junior,Engineering,10920,5952,24528,7488,2120,416,968,368,680,2336,1024,920,Credit/Debit Card
226,25,Non-binary,Sophomore,Economics,6480,6608,29672,7504,1648,1440,896,656,360,1320,880,784,Mobile Payment App
227,22,Male,Sophomore,Economics,6848,264,43360,7736,3128,896,1568,344,568,2352,728,1112,Mobile Payment App
228,21,Female,Senior,Psychology,7880,4688,34760,3848,880,1128,1080,824,336,2160,1552,1568,Credit/Debit Card
229,22,Non-binary,Junior,Biology,7352,2952,36792,6304,952,1360,464,992,272,776,512,1480,Credit/Debit Card
230,18,Female,Sophomore,Biology,5096,1040,41216,4472,2720,496,1808,336,576,1952,1576,336,Cash
231,20,Male,Freshman,Economics,7152,2616,28280,5512,1704,1016,552,928,400,1144,648,408,Credit/Debit Card
232,22,Female,Senior,Economics,6992,4488,27616,4032,2392,888,1896,904,568,832,360,496,Cash
233,22,Female,Junior,Computer Science,6800,5592,25440,6216,1568,816,1696,784,600,1536,384,848,Credit/Debit Card
234,24,Non-binary,Junior,Engineering,7032,6920,45944,7368,1992,1512,1776,888,568,896,480,1064,Credit/Debit Card
235,24,Female,Junior,Economics,6488,2768,28216,6360,2464,848,592,1008,184,2392,888,1216,Credit/Debit Card
236,21,Male,Sophomore,Computer Science,6472,6144,32632,4040,1488,1408,1736,560,648,1552,1544,728,Cash
237,18,Non-binary,Senior,Psychology,4768,2528,43952,4536,2464,432,1008,1192,368,2224,1072,168,Credit/Debit Card
238,25,Male,Sophomore,Economics,6848,816,29176,4000,2728,984,1584,680,584,1664,464,168,Mobile Payment App
239,25,Male,Senior,Computer Science,7088,1144,27912,5408,1752,488,1584,792,760,1424,368,1504,Mobile Payment App
240,24,Female,Sophomore,Psychology,9640,5720,46248,3424,2768,1520,632,296,224,456,1456,1064,Mobile Payment App
241,21,Non-binary,Freshman,Biology,10824,3552,34744,4976,2728,1584,1216,848,352,1888,480,1368,Cash
242,22,Male,Junior,Computer Science,10144,7088,39680,7336,800,424,816,784,528,1824,992,1408,Cash
